feature,importance for exam type,importance for grade,importance mean
grade_10,6.062695592213441,39.67492712886448,22.868811360538963
min_prev,13.027104439611733,1.0962500929174326,7.061677266264583
difficulty_prev,9.833978677133613,3.834440270078888,6.834209473606251
difficulty_avg_score,10.295443695963508,2.651545595695382,6.473494645829445
course,2.4982761364239114,10.211883135416745,6.355079635920328
program,7.277356388903622,1.5192498768171678,4.398303132860395
module,7.012146607966902,1.132250598132831,4.072198603049866
discipline,4.614650188298945,3.501772668901685,4.058211428600314
education_level,7.993422797432769,0.0529348488937839,4.023178823163277
avg_grade_prev,3.638678194451811,4.3434546290001,3.9910664117259556
std_deviation,4.29639845117488,3.3704984388870334,3.8334484450309567
std_deviation_prev,2.8960908078289926,4.444088353544619,3.670089580686806
exam_type,2.8324404604041797,3.943375496939853,3.3879079786720165
absence_status,1.1563146448841033,5.01095171410662,3.083633179495362
grade_prev,0.0,5.971150585725699,2.9855752928628494
students_responsed_ratio,2.8695698297353207,2.337238927341105,2.6034043785382126
place_type,2.0951572694000955,2.49394618820285,2.2945517288014727
exam_type_prev,3.304513870471543,1.2110140163545104,2.2577639434130266
max_prev,2.4664509627115048,1.3761195877167507,1.9212852752141276
students_responsed_ratio_prev,2.333846072243144,1.0271103745798262,1.6804782234114852
academic_year,0.0,0.7957974718825936,0.3978987359412968
